annee, mean annual exposure , population exposed to levels exceeding WHO Interim Target-1 value , population exposed to levels exceeding WHO Interim Target-2 value , population exposed to levels exceeding WHO Interim Target-3 value , population exposed to levels exceeding WHO guideline value 
1960,60.1762286936,69.6675574613,100,100,100
1961,60.1762286936,69.6675574613,100,100,100
1962,60.1762286936,69.6675574613,100,100,100
1963,60.1762286936,69.6675574613,100,100,100
1964,60.1762286936,69.6675574613,100,100,100
1965,60.1762286936,69.6675574613,100,100,100
1966,60.1762286936,69.6675574613,100,100,100
1967,60.1762286936,69.6675574613,100,100,100
1968,60.1762286936,69.6675574613,100,100,100
1969,60.1762286936,69.6675574613,100,100,100
1970,60.1762286936,69.6675574613,100,100,100
1971,60.1762286936,69.6675574613,100,100,100
1972,60.1762286936,69.6675574613,100,100,100
1973,60.1762286936,69.6675574613,100,100,100
1974,60.1762286936,69.6675574613,100,100,100
1975,60.1762286936,69.6675574613,100,100,100
1976,60.1762286936,69.6675574613,100,100,100
1977,60.1762286936,69.6675574613,100,100,100
1978,60.1762286936,69.6675574613,100,100,100
1979,60.1762286936,69.6675574613,100,100,100
1980,60.1762286936,69.6675574613,100,100,100
1981,60.1762286936,69.6675574613,100,100,100
1982,60.1762286936,69.6675574613,100,100,100
1983,60.1762286936,69.6675574613,100,100,100
1984,60.1762286936,69.6675574613,100,100,100
1985,60.1762286936,69.6675574613,100,100,100
1986,60.1762286936,69.6675574613,100,100,100
1987,60.1762286936,69.6675574613,100,100,100
1988,60.1762286936,69.6675574613,100,100,100
1989,60.1762286936,69.6675574613,100,100,100
1990,62.52099761,85.242200299,100,100,100
1991,60.1762286936,69.6675574613,100,100,100
1992,60.1762286936,69.6675574613,100,100,100
1993,60.1762286936,69.6675574613,100,100,100
1994,60.1762286936,69.6675574613,100,100,100
1995,63.21986982,84.923906135,100,100,100
1996,60.1762286936,69.6675574613,100,100,100
1997,60.1762286936,69.6675574613,100,100,100
1998,60.1762286936,69.6675574613,100,100,100
1999,60.1762286936,69.6675574613,100,100,100
2000,63.660183860000004,83.8195966056,100,100,100
2001,60.1762286936,69.6675574613,100,100,100
2002,60.1762286936,69.6675574613,100,100,100
2003,60.1762286936,69.6675574613,100,100,100
2004,60.1762286936,69.6675574613,100,100,100
2005,56.80914644,55.6974831485,100,100,100
2006,60.1762286936,69.6675574613,100,100,100
2007,60.1762286936,69.6675574613,100,100,100
2008,60.1762286936,69.6675574613,100,100,100
2009,60.1762286936,69.6675574613,100,100,100
2010,56.68739592,45.6400960536,100,100,100
2011,58.02145733,41.4981760145,100,100,100
2012,64.50905978,65.2715017331,100,100,100
2013,53.04187379,46.4179587378,100,100,100
2014,55.40981308,68.8384421578,100,100,100
2015,65.39361923,95.9335096281,100,100,100
2016,59.47930794,78.9002647682,100,100,100
2017,63.42037083,83.8275542545,100,100,100
2018,60.0827093,69.6675574613,100,100,100
2019,60.21139678,69.6675574613,100,100,100
2020,60.1762286936,69.6675574613,100,100,100
2021,60.1762286936,69.6675574613,100,100,100
2022,60.1762286936,69.6675574613,100,100,100
